Id,Predicted
0,45270
1,57062
2,35602
3,38896
4,25738
5,9908
6,9400
7,34221
8,52912
9,25190
10,43204
11,39199
12,54797
13,9584
14,16493
15,54372
16,11592
17,11003
18,36226
19,27508
20,63226
21,57642
22,24780
23,28975
24,36662
25,7167
26,33509
27,32545
28,50863
29,20191
30,49868
31,14643
32,41076
33,1730
34,24085
35,48674
36,32867
37,29334
38,25495
39,26138
40,37042
41,55666
42,3556
43,23740
44,52890
45,61747
46,13389
47,10660
48,28255
49,5068
50,22984
51,50852
52,32638
53,54885
54,54162
55,10594
56,31438
57,52509
58,10160
59,8621
60,25176
61,13910
62,40139
63,34729
64,10985
65,8236
66,5311
67,14182
68,6231
69,5316
70,10685
71,10800
72,26808
73,45900
74,18401
75,42313
76,13768
77,8063
78,23534
79,7167
80,34422
81,10685
82,46000
83,57052
84,5944
85,13828
86,7748
87,5690
88,10800
89,29287
90,4963
91,64224
92,42925
93,12509
94,41892
95,20129
96,5001
97,57468
98,64365
99,56991
100,50034
101,10989
102,50045
103,235
104,10577
105,37677
106,36874
107,40650
108,22019
109,61461
110,19821
111,33084
112,61819
113,1877
114,27077
115,28221
116,32060
117,52872
118,60466
119,31378
120,48875
121,5134
122,56967
123,3140
124,59449
125,17070
126,40002
127,34569
128,20514
129,9592
130,32911
131,50943
132,28762
133,986
134,11978
135,2720
136,52351
137,24725
138,4730
139,23624
140,45069
141,2758
142,22440
143,33479
144,29708
145,19469
146,23465
147,33067
148,41475
149,37317
150,58234
151,24569
152,13476
153,41076
154,54903
155,34201
156,24799
157,34190
158,22115
159,19266
160,13168
161,47149
162,41215
163,9212
164,8841
165,54554
166,49932
167,16798
168,15462
169,34546
170,32949
171,37366
172,56701
173,43394
174,56890
175,63263
176,23480
177,20436
178,27218
179,37402
180,54947
181,45395
182,49025
183,49722
184,39451
185,41215
186,58995
187,46980
188,42230
189,31162
190,30672
191,38900
192,19788
193,43030
194,19111
195,11709
196,28431
197,12946
198,27113
199,58995
200,13553
201,21451
202,10685
203,64288
204,38972
205,25229
206,47819
207,22499
208,4242
209,38360
210,41376
211,20728
212,24769
213,35292
214,2725
215,63962
216,31266
217,16972
218,50454
219,54538
220,35014
221,25585
222,49714
223,24085
224,47413
225,40911
226,50343
227,26753
228,45971
229,53057
230,54768
231,64365
232,4624
233,54962
234,31431
235,31620
236,24585
237,5797
238,13854
239,46233
240,13410
241,22702
242,26462
243,15537
244,61714
245,42077
246,24655
247,41112
248,11823
249,34560
250,6144
251,62855
252,22082
253,10747
254,14694
255,42915
256,61281
257,27339
258,36605
259,60867
260,9319
261,22059
262,49986
263,35425
264,29451
265,13409
266,23480
267,1173
268,25428
269,63018
270,57637
271,52291
272,28883
273,16441
274,29226
275,41240
276,53693
277,13112
278,43040
279,25027
280,15223
281,56289
282,10594
283,45193
284,20264
285,3176
286,24814
287,18848
288,578
289,48302
290,20901
291,4400
292,16417
293,26119
294,45972
295,57633
296,40196
297,25169
298,60215
299,57210
300,22734
301,9958
302,40158
303,7440
304,51992
305,23513
306,64306
307,22498
308,39007
309,15604
310,37367
311,40002
312,57989
313,49315
314,6147
315,2950
316,13318
317,15633
318,40162
319,57142
320,45849
321,51042
322,32941
323,27033
324,235
325,9770
326,7740
327,13367
328,54953
329,13262
330,48018
331,16804
332,62320
333,10520
334,13560
335,57062
336,25478
337,48028
338,52917
339,11968
340,14523
341,43777
342,53238
343,30964
344,52863
345,41716
346,37993
347,47037
348,27733
349,15684
350,42725
351,21267
352,689
353,12876
354,17319
355,62713
356,50033
357,59674
358,703
359,56980
360,22962
361,28464
362,59684
363,49590
364,28677
365,56695
366,53782
367,39302
368,22875
369,61298
370,17016
371,13875
372,715
373,11052
374,22147
375,46705
376,10685
377,39931
378,5846
379,20610
380,15222
381,45039
382,48236
383,60688
384,22183
385,54834
386,41845
387,25497
388,56386
389,28836
390,33308
391,38972
392,316
393,9127
394,61653
395,7875
396,57096
397,15616
398,31998
399,62805
400,44412
401,35292
402,22062
403,23480
404,42247
405,10577
406,40834
407,49722
408,58539
409,47921
410,62883
411,21328
412,14755
413,952
414,41636
415,7469
416,10315
417,17016
418,39456
419,28763
420,10596
421,63066
422,57989
423,50482
424,46580
425,19788
426,6652
427,23731
428,51579
429,5208
430,35785
431,45246
432,57097
433,5475
434,61104
435,39450
436,63124
437,17746
438,63124
439,49171
440,12026
441,42811
442,50844
443,36874
444,50849
445,13634
446,34546
447,64355
448,64157
449,42364
450,28153
451,11401
452,36911
453,34587
454,21311
455,39207
456,29087
457,21277
458,37037
459,57186
460,19864
461,17802
462,16998
463,35546
464,58733
465,52335
466,30344
467,6448
468,51683
469,14698
470,36874
471,35455
472,9721
473,27508
474,14441
475,58731
476,1175
477,25107
478,18196
479,39933
480,21030
481,41164
482,31948
483,37893
484,63124
485,31246
486,3056
487,29706
488,19417
489,6433
490,9931
491,6693
492,20596
493,14643
494,62536
495,55825
496,27918
497,13476
498,61148
499,4997
500,17070
501,53063
502,2941
503,9693
504,53230
505,20256
506,11117
507,41299
508,33628
509,21308
510,9693
511,9471
512,50654
513,45109
514,21851
515,36780
516,17880
517,5417
518,22292
519,4590
520,18409
521,18463
522,50482
523,32856
524,51907
525,24296
526,15872
527,17091
528,5001
529,56967
530,54865
531,51295
532,57989
533,40323
534,57487
535,22929
536,22097
537,9584
538,21905
539,23536
540,23700
541,36910
542,32770
543,27717
544,34914
545,60218
546,8340
547,48155
548,54343
549,64157
550,35792
551,25134
552,29894
553,25134
554,10839
555,32561
556,14006
557,12167
558,10683
559,4242
560,4576
561,22075
562,46000
563,2002
564,57876
565,9721
566,2141
567,5043
568,53057
569,21503
570,55114
571,49749
572,56549
573,53165
574,18091
575,34430
576,40689
577,21998
578,12916
579,31890
580,49387
581,12048
582,17574
583,33284
584,57385
585,48267
586,55020
587,13324
588,27680
589,52339
590,7420
591,61855
592,4673
593,11117
594,35775
595,2610
596,63168
597,22007
598,10824
599,53447
600,56297
601,59979
602,53218
603,9973
604,54991
605,32829
606,57334
607,6985
608,33750
609,53681
610,12115
611,1747
612,17029
613,21712
614,52623
615,64486
616,2006
617,12393
618,54037
619,52872
620,50343
621,10800
622,24923
623,47914
624,16397
625,50943
626,9693
627,57087
628,42725
629,25204
630,4427
631,47192
632,52623
633,37366
634,22665
635,58686
636,38867
637,11117
638,8553
639,22474
640,19122
641,20988
642,556
643,54021
644,9127
645,42837
646,10462
647,63111
648,35362
649,64365
650,24365
651,20129
652,11603
653,59666
654,19344
655,49056
656,22298
657,60243
658,6220
659,29204
660,45400
661,1730
662,54274
663,24953
664,6504
665,40002
666,28470
667,59666
668,578
669,44201
670,10577
671,2875
672,6386
673,2929
674,53273
675,17041
676,60272
677,42829
678,1578
679,37013
680,51057
681,41299
682,42755
683,24146
684,20557
685,16318
686,11739
687,5650
688,42814
689,51107
690,742
691,48810
692,42877
693,33600
694,2445
695,40445
696,23956
697,8875
698,55925
699,53120
700,16117
701,36579
702,42835
703,48209
704,21308
705,3128
706,45028
707,27680
708,5360
709,40002
710,35222
711,33987
712,4384
713,22499
714,60139
715,42517
716,16804
717,61073
718,51257
719,41076
720,10162
721,370
722,24285
723,17319
724,56876
725,19788
726,41076
727,43369
728,12449
729,5988
730,19435
731,61799
732,18406
733,20748
734,7849
735,11401
736,316
737,34739
738,63104
739,44669
740,23513
741,10056
742,60205
743,16797
744,44400
745,32847
746,17070
747,56744
748,35362
749,59734
750,41244
751,37354
752,43286
753,48550
754,55424
755,19450
756,58230
757,51169
758,42355
759,6589
760,9693
761,41261
762,12488
763,51345
764,31130
765,13975
766,4949
767,44258
768,52170
769,3128
770,46848
771,22823
772,59748
773,23560
774,34841
775,5315
776,45083
777,7745
778,31998
779,52133
780,38360
781,11390
782,7276
783,9096
784,5041
785,24113
786,25134
787,51970
788,10056
789,36413
790,5001
791,57542
792,14643
793,39252
794,64295
795,52671
796,32860
797,5475
798,46831
799,20264
800,25452
801,20273
802,40002
803,20293
804,59970
805,6092
806,12035
807,62485
808,34739
809,44772
810,63669
811,14643
812,56876
813,45808
814,27033
815,34727
816,16397
817,52674
818,193
819,40002
820,54595
821,30912
822,34295
823,1294
824,43799
825,9026
826,22240
827,45246
828,48209
829,24459
830,47768
831,53186
832,33582
833,29570
834,42580
835,16292
836,60104
837,62818
838,27133
839,53890
840,21311
841,22327
842,19433
843,3316
844,21502
845,34112
846,18077
847,5347
848,23428
849,23528
850,42580
851,34745
852,9986
853,26808
854,55205
855,16523
856,27192
857,48224
858,50482
859,2976
860,34199
861,56610
862,35726
863,34266
864,47015
865,41915
866,40560
867,64334
868,23483
869,14382
870,61302
871,40549
872,24780
873,6351
874,15916
875,21383
876,917
877,10577
878,5188
879,4539
880,58922
881,57486
882,53048
883,4334
884,11117
885,37201
886,921
887,7560
888,5725
889,191
890,12293
891,58924
892,23454
893,24585
894,43689
895,53452
896,7806
897,46297
898,13165
899,16781
900,21397
901,11529
902,47752
903,10499
904,19342
905,5188
906,49529
907,370
908,61704
909,36528
910,39966
911,43863
912,54113
913,27403
914,42364
915,34404
916,768
917,54274
918,5954
919,52701
920,50482
921,60706
922,53051
923,16804
924,55376
925,41475
926,47504
927,330
928,45130
929,9163
930,61073
931,10367
932,10376
933,26564
934,49019
935,23720
936,49789
937,41735
938,3105
939,5108
940,19450
941,23528
942,7993
943,56011
944,4948
945,53211
946,41475
947,56895
948,31620
949,16588
950,53047
951,21315
952,19627
953,9191
954,58423
955,61219
956,2002
957,63124
958,7866
959,59935
960,12048
961,2330
962,21716
963,30689
964,41636
965,3260
966,2720
967,22097
968,30478
969,59582
970,56504
971,16998
972,9533
973,47682
974,52683
975,45417
976,24614
977,11416
978,29900
979,29733
980,14668
981,9813
982,7941
983,4964
984,34393
985,21415
986,51013
987,15325
988,29738
989,3797
990,22690
991,45263
992,13013
993,42705
994,42654
995,10056
996,10449
997,16588
998,24739
999,13973
1000,41153
1001,5414
1002,53230
1003,8206
1004,52782
1005,12048
1006,61325
1007,47717
1008,54689
1009,10539
1010,53902
1011,47706
1012,27033
1013,50650
1014,27033
1015,63850
1016,30444
1017,55294
1018,1299
1019,19422
1020,5061
1021,1858
1022,5552
1023,55425
1024,35853
1025,59506
1026,4812
1027,18840
1028,58995
1029,49868
1030,42837
1031,48706
1032,22295
1033,31899
1034,17837
1035,18509
1036,23956
1037,35902
1038,53337
1039,20911
1040,39807
1041,55722
1042,40629
1043,55864
1044,48760
1045,15823
1046,27098
1047,9770
1048,12599
1049,20731
1050,62130
1051,35530
1052,17070
1053,1075
1054,40689
1055,40002
1056,27717
1057,46796
1058,2950
1059,42932
1060,60688
1061,51642
1062,50343
1063,8875
1064,28615
1065,19244
1066,33855
1067,51338
1068,20276
1069,41871
1070,4383
1071,370
1072,54953
1073,5181
1074,58861
1075,7003
1076,6629
1077,26761
1078,49830
1079,24164
1080,63086
1081,25177
1082,36536
1083,36331
1084,58598
1085,34745
1086,43704
1087,23480
1088,34727
1089,62436
1090,7416
1091,25190
1092,4383
1093,17784
1094,63835
1095,40721
1096,26518
1097,27863
1098,27708
1099,5988
1100,62791
1101,57052
1102,34755
1103,9319
1104,2753
1105,16750
1106,24010
1107,40002
1108,32107
1109,26223
1110,10660
1111,35902
1112,8232
1113,15213
1114,24473
1115,22096
1116,58553
1117,47391
1118,43262
1119,52872
1120,50774
1121,51676
1122,415
1123,24316
1124,26321
1125,17163
1126,22009
1127,43348
1128,25249
1129,11390
1130,19274
1131,10483
1132,52892
1133,13476
1134,55925
1135,41877
1136,47754
1137,712
1138,56890
1139,1733
1140,63265
1141,29628
1142,23956
1143,41253
1144,55307
1145,26101
1146,27508
1147,60272
1148,57989
1149,15575
1150,62883
1151,31431
1152,45558
1153,30506
1154,12412
1155,25849
1156,30093
1157,24473
1158,61791
1159,21267
1160,10997
1161,9574
1162,50463
1163,55690
1164,52872
1165,20795
1166,34499
1167,5736
1168,4528
1169,47136
1170,27613
1171,31834
1172,27211
1173,57876
1174,56154
1175,25478
1176,21126
1177,21136
1178,4227
1179,41544
1180,5282
1181,50980
1182,44635
1183,40002
1184,5096
1185,7875
1186,41877
1187,50489
1188,12048
1189,49147
1190,34156
1191,32060
1192,63117
1193,31890
1194,8286
1195,9655
1196,34733
1197,39038
1198,44697
1199,57242
1200,49321
1201,33860
1202,61931
1203,10527
1204,15840
1205,51553
1206,54723
1207,34561
1208,13670
1209,36577
1210,18901
1211,36158
1212,2767
1213,10076
1214,57083
1215,53209
1216,7740
1217,25738
1218,42403
1219,49387
1220,10291
1221,38068
1222,17624
1223,22620
1224,55114
1225,40002
1226,52621
1227,9952
1228,54483
1229,39263
1230,26823
1231,49651
1232,47593
1233,29486
1234,50231
1235,16128
1236,42343
1237,36897
1238,17322
1239,62854
1240,43947
1241,42227
1242,60843
1243,44170
1244,16532
1245,51114
1246,57154
1247,43216
1248,13996
1249,211
1250,8841
1251,35032
1252,702
1253,3128
1254,45764
1255,45418
1256,56876
1257,49160
1258,25816
1259,14298
1260,3797
1261,47874
1262,42692
1263,29894
1264,52667
1265,56496
1266,21712
1267,63837
1268,27456
1269,11883
1270,44201
1271,30344
1272,29769
1273,58765
1274,20042
1275,33320
1276,62724
1277,4794
1278,58686
1279,59747
1280,2125
1281,7849
1282,5076
1283,44168
1284,25098
1285,21159
1286,24363
1287,20273
1288,60111
1289,5511
1290,50474
1291,32649
1292,986
1293,27033
1294,53177
1295,21749
1296,47677
1297,50161
1298,56097
1299,29882
1300,55308
1301,52339
1302,4963
1303,20010
1304,30819
1305,55436
1306,54339
1307,12217
