loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 1.8489 corr: 77 (128/2257759) completed in 0m 3.010s
loss: 2.0140 corr: 75 (256/2257759) completed in 0m 0.809s
loss: 1.7216 corr: 81 (384/2257759) completed in 0m 0.728s
loss: 1.4984 corr: 76 (512/2257759) completed in 0m 0.747s
loss: 2.1026 corr: 73 (640/2257759) completed in 0m 0.763s
loss: 2.0627 corr: 73 (768/2257759) completed in 0m 0.703s
loss: 1.7420 corr: 72 (896/2257759) completed in 0m 0.725s
loss: 1.8968 corr: 75 (1024/2257759) completed in 0m 0.751s
loss: 1.8299 corr: 81 (1152/2257759) completed in 0m 0.759s
loss: 2.1204 corr: 77 (1280/2257759) completed in 0m 0.811s
loss: 1.6382 corr: 82 (1408/2257759) completed in 0m 0.797s
loss: 2.2743 corr: 68 (1536/2257759) completed in 0m 0.737s
loss: 2.1077 corr: 72 (1664/2257759) completed in 0m 0.793s
loss: 1.7922 corr: 80 (1792/2257759) completed in 0m 0.761s
loss: 1.9867 corr: 76 (1920/2257759) completed in 0m 0.763s
loss: 1.7802 corr: 75 (2048/2257759) completed in 0m 0.723s
loss: 1.9583 corr: 77 (2176/2257759) completed in 0m 0.832s
loss: 1.8021 corr: 82 (2304/2257759) completed in 0m 0.792s
loss: 2.0207 corr: 75 (2432/2257759) completed in 0m 0.775s
loss: 1.7092 corr: 82 (2560/2257759) completed in 0m 0.683s
loss: 2.1672 corr: 67 (2688/2257759) completed in 0m 0.751s
loss: 1.6871 corr: 82 (2816/2257759) completed in 0m 0.724s
loss: 2.0439 corr: 67 (2944/2257759) completed in 0m 0.784s
loss: 1.5403 corr: 86 (3072/2257759) completed in 0m 0.787s
loss: 1.7828 corr: 82 (3200/2257759) completed in 0m 0.761s
loss: 1.9266 corr: 71 (3328/2257759) completed in 0m 0.734s
loss: 1.4046 corr: 83 (3456/2257759) completed in 0m 0.707s
loss: 1.5611 corr: 79 (3584/2257759) completed in 0m 0.773s
loss: 2.0204 corr: 70 (3712/2257759) completed in 0m 0.772s
loss: 1.5753 corr: 83 (3840/2257759) completed in 0m 0.724s
loss: 2.1561 corr: 74 (3968/2257759) completed in 0m 0.736s
loss: 1.9122 corr: 76 (4096/2257759) completed in 0m 0.762s
loss: 2.1445 corr: 70 (4224/2257759) completed in 0m 0.731s
loss: 1.7658 corr: 79 (4352/2257759) completed in 0m 0.730s
loss: 1.7078 corr: 77 (4480/2257759) completed in 0m 0.689s
loss: 1.7233 corr: 77 (4608/2257759) completed in 0m 0.731s
loss: 1.8088 corr: 75 (4736/2257759) completed in 0m 0.723s
loss: 1.9598 corr: 77 (4864/2257759) completed in 0m 0.796s
loss: 1.9759 corr: 68 (4992/2257759) completed in 0m 0.742s
loss: 1.7610 corr: 81 (5120/2257759) completed in 0m 0.760s
loss: 2.1929 corr: 73 (5248/2257759) completed in 0m 0.720s
loss: 1.8642 corr: 75 (5376/2257759) completed in 0m 0.748s
loss: 2.0280 corr: 75 (5504/2257759) completed in 0m 0.708s
loss: 1.8921 corr: 76 (5632/2257759) completed in 0m 0.720s
loss: 2.3653 corr: 67 (5760/2257759) completed in 0m 0.748s
loss: 1.5089 corr: 80 (5888/2257759) completed in 0m 0.736s
loss: 1.7993 corr: 73 (6016/2257759) completed in 0m 0.797s
loss: 1.7070 corr: 76 (6144/2257759) completed in 0m 0.730s
loss: 1.6581 corr: 82 (6272/2257759) completed in 0m 0.734s
loss: 1.8047 corr: 77 (6400/2257759) completed in 0m 0.764s
loss: 1.9197 corr: 72 (6528/2257759) completed in 0m 0.754s
loss: 1.7189 corr: 83 (6656/2257759) completed in 0m 0.737s
loss: 2.2867 corr: 66 (6784/2257759) completed in 0m 0.756s
loss: 1.8402 corr: 75 (6912/2257759) completed in 0m 0.786s
loss: 1.9243 corr: 73 (7040/2257759) completed in 0m 0.746s
loss: 1.7830 corr: 77 (7168/2257759) completed in 0m 0.744s
loss: 1.9128 corr: 72 (7296/2257759) completed in 0m 0.721s
loss: 1.9739 corr: 76 (7424/2257759) completed in 0m 0.743s
loss: 1.5457 corr: 81 (7552/2257759) completed in 0m 0.803s
loss: 2.2030 corr: 69 (7680/2257759) completed in 0m 0.695s
loss: 1.7746 corr: 80 (7808/2257759) completed in 0m 0.735s
loss: 1.5689 corr: 77 (7936/2257759) completed in 0m 0.756s
loss: 1.9485 corr: 78 (8064/2257759) completed in 0m 0.710s
loss: 1.8730 corr: 77 (8192/2257759) completed in 0m 0.727s
loss: 2.2904 corr: 66 (8320/2257759) completed in 0m 0.756s
loss: 2.1258 corr: 76 (8448/2257759) completed in 0m 0.781s
loss: 2.1744 corr: 64 (8576/2257759) completed in 0m 0.907s
loss: 2.1392 corr: 67 (8704/2257759) completed in 0m 0.699s
loss: 1.8451 corr: 68 (8832/2257759) completed in 0m 0.742s
loss: 1.8074 corr: 77 (8960/2257759) completed in 0m 0.762s
loss: 2.1761 corr: 75 (9088/2257759) completed in 0m 0.732s
loss: 1.6904 corr: 80 (9216/2257759) completed in 0m 0.767s
loss: 1.6454 corr: 83 (9344/2257759) completed in 0m 0.746s
loss: 2.2233 corr: 70 (9472/2257759) completed in 0m 0.725s
loss: 1.9304 corr: 75 (9600/2257759) completed in 0m 0.759s
loss: 1.9267 corr: 78 (9728/2257759) completed in 0m 0.760s
loss: 1.4451 corr: 82 (9856/2257759) completed in 0m 0.729s
loss: 1.7890 corr: 75 (9984/2257759) completed in 0m 0.762s
loss: 1.8605 corr: 73 (10112/2257759) completed in 0m 0.759s
loss: 1.6147 corr: 81 (10240/2257759) completed in 0m 0.740s
loss: 1.6746 corr: 73 (10368/2257759) completed in 0m 0.738s
loss: 1.6392 corr: 80 (10496/2257759) completed in 0m 0.755s
loss: 2.2591 corr: 71 (10624/2257759) completed in 0m 0.734s
loss: 1.9094 corr: 76 (10752/2257759) completed in 0m 0.796s
loss: 1.9785 corr: 78 (10880/2257759) completed in 0m 0.716s
loss: 2.1092 corr: 70 (11008/2257759) completed in 0m 0.758s
loss: 1.8429 corr: 74 (11136/2257759) completed in 0m 0.750s
loss: 1.9158 corr: 73 (11264/2257759) completed in 0m 0.725s
loss: 1.8942 corr: 74 (11392/2257759) completed in 0m 0.740s
loss: 1.8934 corr: 70 (11520/2257759) completed in 0m 0.725s
loss: 2.2593 corr: 68 (11648/2257759) completed in 0m 0.828s
loss: 1.5952 corr: 85 (11776/2257759) completed in 0m 0.746s
loss: 1.9198 corr: 78 (11904/2257759) completed in 0m 0.751s
loss: 1.8198 corr: 74 (12032/2257759) completed in 0m 0.779s
loss: 2.1330 corr: 69 (12160/2257759) completed in 0m 0.748s
loss: 2.1909 corr: 65 (12288/2257759) completed in 0m 0.711s
loss: 2.1708 corr: 69 (12416/2257759) completed in 0m 0.815s
loss: 1.7656 corr: 79 (12544/2257759) completed in 0m 0.722s
loss: 1.4450 corr: 87 (12672/2257759) completed in 0m 0.715s
loss: 2.0574 corr: 79 (12800/2257759) completed in 0m 0.712s
loss: 1.5442 corr: 79 (12928/2257759) completed in 0m 0.730s
loss: 1.7457 corr: 76 (13056/2257759) completed in 0m 0.755s
loss: 1.7335 corr: 71 (13184/2257759) completed in 0m 0.691s
loss: 1.9849 corr: 72 (13312/2257759) completed in 0m 0.695s
loss: 1.7459 corr: 70 (13440/2257759) completed in 0m 0.708s
loss: 1.8943 corr: 75 (13568/2257759) completed in 0m 0.735s
loss: 2.0317 corr: 81 (13696/2257759) completed in 0m 0.738s
loss: 2.1972 corr: 78 (13824/2257759) completed in 0m 0.747s
loss: 1.6957 corr: 75 (13952/2257759) completed in 0m 0.873s
loss: 1.7581 corr: 76 (14080/2257759) completed in 0m 0.713s
loss: 1.6586 corr: 76 (14208/2257759) completed in 0m 0.754s
loss: 1.7474 corr: 73 (14336/2257759) completed in 0m 0.847s
loss: 2.1841 corr: 66 (14464/2257759) completed in 0m 0.711s
loss: 1.9292 corr: 67 (14592/2257759) completed in 0m 0.691s
loss: 1.9043 corr: 82 (14720/2257759) completed in 0m 0.730s
loss: 1.9495 corr: 78 (14848/2257759) completed in 0m 0.682s
loss: 1.9019 corr: 80 (14976/2257759) completed in 0m 0.708s
loss: 1.6094 corr: 82 (15104/2257759) completed in 0m 0.749s
loss: 2.0017 corr: 67 (15232/2257759) completed in 0m 0.752s
loss: 1.5869 corr: 82 (15360/2257759) completed in 0m 0.727s
loss: 1.8602 corr: 72 (15488/2257759) completed in 0m 0.714s
loss: 2.1611 corr: 72 (15616/2257759) completed in 0m 0.774s
loss: 2.0655 corr: 71 (15744/2257759) completed in 0m 0.715s
loss: 2.0374 corr: 71 (15872/2257759) completed in 0m 0.727s
loss: 2.1075 corr: 72 (16000/2257759) completed in 0m 0.701s
loss: 1.8119 corr: 75 (16128/2257759) completed in 0m 0.714s
loss: 1.9051 corr: 74 (16256/2257759) completed in 0m 0.743s
loss: 1.6145 corr: 88 (16384/2257759) completed in 0m 0.753s
loss: 1.6593 corr: 82 (16512/2257759) completed in 0m 0.716s
loss: 1.8480 corr: 79 (16640/2257759) completed in 0m 0.863s
loss: 1.9646 corr: 69 (16768/2257759) completed in 0m 0.733s
loss: 1.8336 corr: 73 (16896/2257759) completed in 0m 0.728s
loss: 1.7429 corr: 82 (17024/2257759) completed in 0m 0.752s
loss: 2.3066 corr: 68 (17152/2257759) completed in 0m 0.727s
loss: 2.0600 corr: 69 (17280/2257759) completed in 0m 0.732s
loss: 2.0810 corr: 74 (17408/2257759) completed in 0m 0.758s
loss: 2.0682 corr: 65 (17536/2257759) completed in 0m 0.734s
loss: 1.7702 corr: 73 (17664/2257759) completed in 0m 0.727s
loss: 2.2080 corr: 72 (17792/2257759) completed in 0m 0.686s
loss: 1.6886 corr: 75 (17920/2257759) completed in 0m 0.773s
loss: 1.9492 corr: 69 (18048/2257759) completed in 0m 0.734s
loss: 1.6247 corr: 80 (18176/2257759) completed in 0m 0.747s
loss: 1.2789 corr: 90 (18304/2257759) completed in 0m 0.712s
loss: 1.5882 corr: 88 (18432/2257759) completed in 0m 0.702s
loss: 2.4920 corr: 70 (18560/2257759) completed in 0m 0.699s
loss: 1.7283 corr: 79 (18688/2257759) completed in 0m 0.727s
loss: 2.0563 corr: 74 (18816/2257759) completed in 0m 0.711s
loss: 1.6165 corr: 81 (18944/2257759) completed in 0m 0.779s
loss: 1.8078 corr: 72 (19072/2257759) completed in 0m 0.724s
loss: 2.2677 corr: 71 (19200/2257759) completed in 0m 0.732s
loss: 2.0495 corr: 62 (19328/2257759) completed in 0m 0.713s
loss: 1.7487 corr: 76 (19456/2257759) completed in 0m 0.868s
loss: 1.9656 corr: 67 (19584/2257759) completed in 0m 0.726s
loss: 1.8393 corr: 70 (19712/2257759) completed in 0m 0.750s
loss: 2.0549 corr: 70 (19840/2257759) completed in 0m 0.725s
loss: 2.0600 corr: 72 (19968/2257759) completed in 0m 0.738s
loss: 1.6385 corr: 80 (20096/2257759) completed in 0m 0.739s
loss: 1.6275 corr: 73 (20224/2257759) completed in 0m 0.722s
loss: 1.9320 corr: 76 (20352/2257759) completed in 0m 0.727s
loss: 1.9160 corr: 81 (20480/2257759) completed in 0m 0.721s
loss: 1.8019 corr: 71 (20608/2257759) completed in 0m 0.733s
loss: 2.3545 corr: 61 (20736/2257759) completed in 0m 0.703s
loss: 1.9938 corr: 73 (20864/2257759) completed in 0m 0.722s
loss: 2.3770 corr: 67 (20992/2257759) completed in 0m 0.744s
loss: 1.6341 corr: 76 (21120/2257759) completed in 0m 0.728s
loss: 1.6351 corr: 77 (21248/2257759) completed in 0m 0.708s
loss: 1.9433 corr: 70 (21376/2257759) completed in 0m 0.713s
loss: 1.7937 corr: 78 (21504/2257759) completed in 0m 0.762s
loss: 2.0112 corr: 71 (21632/2257759) completed in 0m 0.731s
