Id,Predicted
0,45270
1,49681
2,35602
3,38896
4,4753
5,57146
6,9400
7,34220
8,39626
9,51807
10,22814
11,39199
12,45752
13,9584
14,16493
15,60170
16,8391
17,11003
18,49968
19,56267
20,63226
21,22091
22,12422
23,56962
24,27755
25,7179
26,58598
27,56756
28,50863
29,49204
30,49839
31,14004
32,60900
33,58937
34,27853
35,24720
36,15872
37,33826
38,25493
39,51738
40,37042
41,55666
42,3712
43,23740
44,19659
45,61747
46,35440
47,676
48,28255
49,5068
50,22984
51,50850
52,59943
53,54716
54,54151
55,49443
56,18037
57,52508
58,10351
59,8621
60,62653
61,63317
62,40084
63,55892
64,10984
65,51840
66,59767
67,42692
68,24581
69,34259
70,51111
71,11159
72,40897
73,2854
74,18398
75,16824
76,13804
77,8063
78,24956
79,26600
80,34428
81,10682
82,46000
83,56586
84,5947
85,13912
86,7753
87,17710
88,42837
89,29289
90,32684
91,24136
92,42892
93,44300
94,30555
95,47918
96,7969
97,16478
98,63349
99,1098
100,62946
101,10985
102,50045
103,23662
104,10263
105,37677
106,60577
107,40650
108,26535
109,56357
110,31044
111,18950
112,61819
113,1876
114,27076
115,34379
116,41211
117,2355
118,60466
119,31354
120,10779
121,55463
122,52680
123,3133
124,59446
125,25221
126,2893
127,34562
128,27756
129,22271
130,48018
131,23480
132,28762
133,19616
134,12057
135,29198
136,58920
137,63765
138,4730
139,23620
140,18735
141,2757
142,22380
143,14615
144,59647
145,4997
146,23465
147,36541
148,45715
149,37317
150,51668
151,24569
152,16945
153,56192
154,39892
155,34202
156,24799
157,42872
158,61761
159,51273
160,13168
161,47149
162,48743
163,9212
164,59608
165,5753
166,53660
167,48575
168,25275
169,34515
170,53472
171,41990
172,56427
173,35027
174,17257
175,63268
176,23480
177,52103
178,27218
179,40743
180,17897
181,45397
182,49025
183,24956
184,39451
185,9596
186,56738
187,47291
188,42233
189,31162
190,30673
191,36776
192,53523
193,43030
194,19113
195,11709
196,63650
197,45913
198,53978
199,2430
200,54480
201,40424
202,10687
203,12337
204,7140
205,25253
206,3971
207,22410
208,39079
209,7912
210,41376
211,5839
212,11009
213,28526
214,30870
215,35726
216,35726
217,17008
218,50243
219,54538
220,59995
221,22205
222,49695
223,4064
224,33124
225,37077
226,35203
227,48114
228,36911
229,2578
230,54772
231,23025
232,45796
233,19480
234,31390
235,17261
236,29707
237,63089
238,36816
239,37155
240,15433
241,22697
242,44369
243,15667
244,49847
245,42077
246,50849
247,41112
248,8672
249,34525
250,60024
251,38352
252,22082
253,10747
254,721
255,41975
256,61281
257,27339
258,36605
259,63539
260,9319
261,22059
262,19663
263,35425
264,63989
265,14118
266,14188
267,1173
268,44649
269,63027
270,57637
271,59699
272,28877
273,16611
274,49847
275,41200
276,55578
277,13112
278,43040
279,40744
280,49007
281,56289
282,10319
283,45198
284,5228
285,3176
286,26644
287,12048
288,2028
289,48294
290,20901
291,4400
292,16417
293,26159
294,55643
295,54680
296,45297
297,19170
298,60215
299,57210
300,22734
301,18475
302,32213
303,7440
304,54163
305,23843
306,52994
307,22498
308,60110
309,37428
310,37464
311,53686
312,13126
313,21752
314,45367
315,3448
316,52348
317,56991
318,40162
319,39625
320,49129
321,51068
322,32941
323,40898
324,23706
325,9770
326,4957
327,28594
328,31732
329,13260
330,48018
331,221
332,24197
333,10457
334,13560
335,63783
336,9248
337,43326
338,51763
339,55208
340,25395
341,43786
342,21951
343,45324
344,52152
345,41708
346,49525
347,47037
348,27733
349,15684
350,42709
351,25263
352,7109
353,12716
354,47630
355,42455
356,50033
357,59674
358,58398
359,56980
360,22894
361,3215
362,19346
363,29797
364,48671
365,46302
366,30420
367,39302
368,22880
369,27305
370,17165
371,13875
372,60593
373,11049
374,57684
375,45988
376,10688
377,39931
378,5846
379,24892
380,15200
381,45039
382,45796
383,14395
384,22107
385,7476
386,41845
387,25498
388,9593
389,28871
390,33299
391,57561
392,384
393,57770
394,17602
395,22173
396,57096
397,4317
398,42402
399,63132
400,44716
401,42364
402,22062
403,32042
404,42247
405,10515
406,32892
407,49681
408,38192
409,11863
410,62876
411,25258
412,31580
413,48984
414,41665
415,21570
416,21588
417,17039
418,39456
419,4183
420,10566
421,63057
422,57973
423,47915
424,46579
425,41490
426,62743
427,23587
428,51579
429,31411
430,38176
431,45333
432,57023
433,5510
434,61102
435,52198
436,33421
437,26778
438,58536
439,49149
440,12027
441,39646
442,50844
443,14524
444,24250
445,13597
446,33742
447,270
448,64157
449,29684
450,18710
451,46822
452,23767
453,34587
454,25869
455,39208
456,29087
457,21324
458,37037
459,57186
460,19878
461,17795
462,17033
463,32552
464,58733
465,52335
466,26665
467,20059
468,219
469,51612
470,55800
471,37091
472,3604
473,40497
474,62915
475,34691
476,1175
477,56326
478,8811
479,38699
480,21186
481,19605
482,8870
483,9819
484,16068
485,50779
486,3051
487,39885
488,43590
489,25930
490,9967
491,30558
492,20596
493,29531
494,29816
495,55825
496,27918
497,56952
498,61148
499,5036
500,25221
501,53294
502,15905
503,41705
504,53209
505,20256
506,59593
507,48439
508,41164
509,7734
510,4874
511,24010
512,18588
513,37911
514,49656
515,14153
516,17880
517,5719
518,63930
519,4590
520,18409
521,3495
522,40801
523,3062
524,37187
525,24425
526,15872
527,25651
528,5052
529,13499
530,54865
531,51295
532,57974
533,40323
534,57486
535,22929
536,12445
537,9584
538,21434
539,23539
540,23602
541,62795
542,32770
543,16983
544,34914
545,60218
546,47742
547,57924
548,54343
549,60851
550,23919
551,25169
552,29894
553,33825
554,10840
555,6087
556,25626
557,12167
558,31308
559,4242
560,58922
561,17429
562,49098
563,442
564,1203
565,21165
566,2141
567,35281
568,33624
569,44031
570,55114
571,8545
572,56642
573,53165
574,18090
575,34440
576,20914
577,22018
578,41647
579,33296
580,49386
581,6940
582,17574
583,33284
584,17722
585,48267
586,50874
587,57427
588,2519
589,52339
590,19866
591,61855
592,5129
593,8676
594,35795
595,19745
596,193
597,22018
598,38404
599,42544
600,53804
601,56258
602,53192
603,12966
604,50881
605,32829
606,57333
607,16695
608,33803
609,48867
610,19541
611,1747
612,25265
613,21720
614,52610
615,10672
616,9018
617,17029
618,54037
619,13574
620,51509
621,49926
622,47411
623,13089
624,30037
625,53871
626,61831
627,57087
628,42713
629,47920
630,21693
631,47099
632,52591
633,63066
634,48267
635,58686
636,38867
637,61675
638,13050
639,22474
640,19120
641,20988
642,556
643,54025
644,9127
645,42835
646,10456
647,31676
648,49324
649,61180
650,24365
651,54504
652,11587
653,63947
654,58406
655,40992
656,22298
657,59692
658,6224
659,38265
660,45400
661,1742
662,54277
663,19891
664,28252
665,46683
666,32176
667,59692
668,633
669,44275
670,10145
671,2869
672,8322
673,38571
674,53225
675,42230
676,35282
677,42925
678,1578
679,22217
680,51057
681,7650
682,33639
683,24154
684,20557
685,53577
686,11299
687,5654
688,8908
689,51107
690,742
691,43796
692,18893
693,40176
694,14808
695,7416
696,23973
697,7737
698,27518
699,56118
700,36149
701,61905
702,42835
703,48209
704,23005
705,30580
706,45032
707,39085
708,5361
709,25058
710,38912
711,29080
712,4423
713,22511
714,60145
715,59452
716,23735
717,19754
718,18073
719,59859
720,15851
721,311
722,24300
723,39584
724,57010
725,27730
726,10739
727,29976
728,12465
729,5988
730,18433
731,23428
732,16249
733,3461
734,7849
735,24958
736,452
737,5618
738,5602
739,44766
740,23539
741,10056
742,22938
743,35683
744,51698
745,32866
746,38126
747,56675
748,32482
749,45136
750,41270
751,37334
752,18921
753,25937
754,1136
755,16609
756,36772
757,11763
758,42356
759,30927
760,7470
761,26545
762,63116
763,51284
764,53705
765,22001
766,16428
767,44335
768,52074
769,19888
770,46828
771,22838
772,59748
773,53552
774,34841
775,5795
776,3694
777,7745
778,32002
779,52033
780,39219
781,13511
782,12942
783,8998
784,5041
785,24117
786,26682
787,52111
788,10348
789,36403
790,24431
791,57542
792,31865
793,19105
794,7179
795,35521
796,11092
797,64416
798,47181
799,41241
800,52687
801,11616
802,9289
803,12797
804,57433
805,60574
806,12035
807,36549
808,34735
809,44839
810,63669
811,2401
812,23540
813,2173
814,36642
815,34738
816,16491
817,52674
818,193
819,61861
820,54666
821,30903
822,26231
823,1260
824,105
825,55177
826,22241
827,45246
828,29683
829,24458
830,40885
831,53179
832,33582
833,32477
834,44310
835,20750
836,60104
837,62872
838,13891
839,53965
840,6209
841,22444
842,58406
843,3316
844,57672
845,60205
846,18077
847,60037
848,50938
849,11118
850,59790
851,58662
852,43383
853,26807
854,55205
855,50042
856,27192
857,48224
858,56002
859,60390
860,34202
861,59193
862,59241
863,34266
864,7900
865,57764
866,40560
867,64334
868,23483
869,22356
870,61302
871,20105
872,53664
873,6137
874,15916
875,39355
876,925
877,21361
878,26961
879,58953
880,58965
881,61551
882,53048
883,3705
884,39162
885,27667
886,924
887,7544
888,5820
889,179
890,29559
891,58924
892,23454
893,5482
894,35369
895,53452
896,7806
897,58376
898,4267
899,2673
900,22085
901,11529
902,53136
903,21963
904,39407
905,35190
906,26591
907,14773
908,61704
909,36528
910,63864
911,43863
912,36099
913,35242
914,29686
915,34404
916,31236
917,54274
918,5960
919,52701
920,10800
921,5771
922,22504
923,344
924,28804
925,41475
926,47504
927,330
928,45130
929,9170
930,54464
931,10367
932,10489
933,35248
934,26789
935,23720
936,50790
937,41735
938,31078
939,6671
940,986
941,23528
942,55041
943,56010
944,2762
945,21461
946,26973
947,14587
948,55803
949,16574
950,1867
951,22625
952,37310
953,5939
954,45685
955,61219
956,18815
957,41461
958,7869
959,43799
960,52871
961,41056
962,21716
963,22877
964,41644
965,50721
966,24146
967,32976
968,30446
969,64232
970,56764
971,16982
972,9533
973,25039
974,52708
975,42873
976,63408
977,11428
978,29900
979,29727
980,14668
981,9813
982,6570
983,301
984,20500
985,21415
986,51031
987,20797
988,39872
989,3797
990,22690
991,40428
992,14402
993,42705
994,7348
995,10576
996,10322
997,16448
998,24739
999,56492
1000,40399
1001,5700
1002,53230
1003,8209
1004,11220
1005,18491
1006,61325
1007,33479
1008,13328
1009,10525
1010,22689
1011,2718
1012,53874
1013,51947
1014,61940
1015,63850
1016,64318
1017,55294
1018,28520
1019,46043
1020,29967
1021,1845
1022,44916
1023,55425
1024,56032
1025,59506
1026,4810
1027,29846
1028,47632
1029,49868
1030,42837
1031,48656
1032,22297
1033,31899
1034,15227
1035,60344
1036,23916
1037,38744
1038,45333
1039,21097
1040,39767
1041,196
1042,40629
1043,55864
1044,25952
1045,19773
1046,27098
1047,41461
1048,11717
1049,20731
1050,62134
1051,55799
1052,17022
1053,1075
1054,36856
1055,29517
1056,57869
1057,1691
1058,2701
1059,12231
1060,13476
1061,22001
1062,2111
1063,8875
1064,27756
1065,56172
1066,33850
1067,26553
1068,20238
1069,29292
1070,4383
1071,14772
1072,62129
1073,35190
1074,45059
1075,7003
1076,19061
1077,26763
1078,49830
1079,24164
1080,63079
1081,25020
1082,36536
1083,36331
1084,59602
1085,40876
1086,53387
1087,54209
1088,34738
1089,11968
1090,34059
1091,3747
1092,16986
1093,1301
1094,41571
1095,40721
1096,26518
1097,21826
1098,27708
1099,11587
1100,62791
1101,24315
1102,55600
1103,7469
1104,61217
1105,2277
1106,32999
1107,40002
1108,32107
1109,26223
1110,10660
1111,35902
