loss: XXXXXXX corr: Y (ZZZZZZZZZZZ) completed in 0m 0s
Epoch 0/0
----------
loss: 1.7794 corr: 70 (128/2257759) completed in 0m 2.641s
loss: 1.4630 corr: 78 (256/2257759) completed in 0m 0.871s
loss: 1.3254 corr: 85 (384/2257759) completed in 0m 0.826s
loss: 1.7133 corr: 80 (512/2257759) completed in 0m 0.812s
loss: 1.1478 corr: 84 (640/2257759) completed in 0m 0.893s
loss: 1.3588 corr: 88 (768/2257759) completed in 0m 0.838s
loss: 1.3055 corr: 83 (896/2257759) completed in 0m 0.876s
loss: 1.2616 corr: 88 (1024/2257759) completed in 0m 0.879s
loss: 0.9710 corr: 97 (1152/2257759) completed in 0m 0.853s
loss: 1.1863 corr: 86 (1280/2257759) completed in 0m 0.822s
loss: 1.2082 corr: 86 (1408/2257759) completed in 0m 0.854s
loss: 1.2989 corr: 88 (1536/2257759) completed in 0m 0.810s
loss: 1.2669 corr: 89 (1664/2257759) completed in 0m 0.842s
loss: 1.2082 corr: 87 (1792/2257759) completed in 0m 0.853s
loss: 1.1440 corr: 93 (1920/2257759) completed in 0m 0.817s
loss: 1.0997 corr: 96 (2048/2257759) completed in 0m 0.892s
loss: 1.0994 corr: 85 (2176/2257759) completed in 0m 0.889s
loss: 1.1996 corr: 87 (2304/2257759) completed in 0m 0.872s
loss: 1.0540 corr: 91 (2432/2257759) completed in 0m 1.008s
loss: 1.1476 corr: 89 (2560/2257759) completed in 0m 0.968s
loss: 1.1542 corr: 85 (2688/2257759) completed in 0m 0.879s
loss: 1.1281 corr: 90 (2816/2257759) completed in 0m 0.846s
loss: 1.0356 corr: 92 (2944/2257759) completed in 0m 0.854s
loss: 1.2711 corr: 85 (3072/2257759) completed in 0m 0.865s
loss: 1.0265 corr: 92 (3200/2257759) completed in 0m 0.857s
loss: 1.1114 corr: 90 (3328/2257759) completed in 0m 0.839s
loss: 1.0200 corr: 93 (3456/2257759) completed in 0m 0.841s
loss: 1.2926 corr: 86 (3584/2257759) completed in 0m 0.921s
loss: 0.8615 corr: 97 (3712/2257759) completed in 0m 0.964s
loss: 1.4071 corr: 81 (3840/2257759) completed in 0m 0.895s
loss: 1.2321 corr: 90 (3968/2257759) completed in 0m 0.852s
loss: 1.1720 corr: 88 (4096/2257759) completed in 0m 0.840s
loss: 0.8601 corr: 98 (4224/2257759) completed in 0m 0.789s
loss: 1.1427 corr: 92 (4352/2257759) completed in 0m 0.849s
loss: 1.0965 corr: 86 (4480/2257759) completed in 0m 0.834s
loss: 0.9873 corr: 92 (4608/2257759) completed in 0m 0.849s
loss: 0.9747 corr: 95 (4736/2257759) completed in 0m 0.895s
loss: 1.0633 corr: 94 (4864/2257759) completed in 0m 0.876s
loss: 1.2869 corr: 88 (4992/2257759) completed in 0m 0.790s
loss: 1.0987 corr: 85 (5120/2257759) completed in 0m 0.855s
loss: 1.0086 corr: 92 (5248/2257759) completed in 0m 0.840s
loss: 1.1421 corr: 89 (5376/2257759) completed in 0m 0.869s
loss: 1.3219 corr: 80 (5504/2257759) completed in 0m 0.788s
loss: 1.0217 corr: 92 (5632/2257759) completed in 0m 0.919s
loss: 1.1113 corr: 85 (5760/2257759) completed in 0m 0.842s
loss: 1.1954 corr: 80 (5888/2257759) completed in 0m 0.831s
loss: 1.0572 corr: 97 (6016/2257759) completed in 0m 0.864s
loss: 0.8866 corr: 100 (6144/2257759) completed in 0m 0.882s
loss: 0.9708 corr: 95 (6272/2257759) completed in 0m 0.891s
loss: 0.9637 corr: 94 (6400/2257759) completed in 0m 0.849s
loss: 1.1489 corr: 88 (6528/2257759) completed in 0m 0.837s
loss: 1.2853 corr: 82 (6656/2257759) completed in 0m 0.854s
loss: 1.0358 corr: 90 (6784/2257759) completed in 0m 0.843s
loss: 1.1055 corr: 90 (6912/2257759) completed in 0m 0.862s
loss: 1.1109 corr: 87 (7040/2257759) completed in 0m 0.858s
loss: 1.1462 corr: 89 (7168/2257759) completed in 0m 0.853s
loss: 1.0979 corr: 89 (7296/2257759) completed in 0m 0.878s
loss: 1.0053 corr: 94 (7424/2257759) completed in 0m 0.827s
loss: 0.9811 corr: 97 (7552/2257759) completed in 0m 0.845s
loss: 1.3363 corr: 86 (7680/2257759) completed in 0m 0.897s
loss: 1.2973 corr: 87 (7808/2257759) completed in 0m 0.888s
loss: 0.9920 corr: 99 (7936/2257759) completed in 0m 0.889s
loss: 1.1720 corr: 92 (8064/2257759) completed in 0m 1.014s
loss: 0.9041 corr: 99 (8192/2257759) completed in 0m 1.009s
loss: 0.9578 corr: 101 (8320/2257759) completed in 0m 0.914s
loss: 1.1021 corr: 86 (8448/2257759) completed in 0m 0.929s
loss: 1.0717 corr: 90 (8576/2257759) completed in 0m 0.852s
loss: 1.2609 corr: 84 (8704/2257759) completed in 0m 0.906s
loss: 0.9240 corr: 91 (8832/2257759) completed in 0m 0.829s
loss: 1.0277 corr: 85 (8960/2257759) completed in 0m 0.846s
loss: 1.1966 corr: 91 (9088/2257759) completed in 0m 0.846s
loss: 0.9909 corr: 100 (9216/2257759) completed in 0m 0.861s
loss: 1.0397 corr: 93 (9344/2257759) completed in 0m 0.950s
loss: 0.8894 corr: 92 (9472/2257759) completed in 0m 0.923s
loss: 1.0290 corr: 96 (9600/2257759) completed in 0m 0.893s
loss: 0.9228 corr: 98 (9728/2257759) completed in 0m 0.800s
loss: 0.8998 corr: 91 (9856/2257759) completed in 0m 0.911s
loss: 0.8429 corr: 92 (9984/2257759) completed in 0m 0.862s
loss: 1.2855 corr: 85 (10112/2257759) completed in 0m 0.873s
loss: 0.9481 corr: 96 (10240/2257759) completed in 0m 0.857s
loss: 1.0355 corr: 91 (10368/2257759) completed in 0m 0.922s
loss: 0.8895 corr: 98 (10496/2257759) completed in 0m 0.774s
loss: 1.3329 corr: 81 (10624/2257759) completed in 0m 0.824s
loss: 0.7221 corr: 103 (10752/2257759) completed in 0m 0.867s
loss: 0.9743 corr: 94 (10880/2257759) completed in 0m 0.892s
loss: 0.9735 corr: 94 (11008/2257759) completed in 0m 0.835s
loss: 1.1982 corr: 86 (11136/2257759) completed in 0m 0.849s
loss: 1.0936 corr: 84 (11264/2257759) completed in 0m 0.861s
loss: 1.0931 corr: 92 (11392/2257759) completed in 0m 0.898s
loss: 0.9078 corr: 95 (11520/2257759) completed in 0m 0.873s
loss: 1.0368 corr: 87 (11648/2257759) completed in 0m 0.844s
loss: 1.0624 corr: 93 (11776/2257759) completed in 0m 0.882s
loss: 1.1057 corr: 90 (11904/2257759) completed in 0m 0.840s
loss: 1.1202 corr: 92 (12032/2257759) completed in 0m 0.808s
loss: 0.8522 corr: 96 (12160/2257759) completed in 0m 0.933s
loss: 0.9682 corr: 92 (12288/2257759) completed in 0m 0.977s
loss: 1.3540 corr: 87 (12416/2257759) completed in 0m 0.845s
loss: 0.7124 corr: 103 (12544/2257759) completed in 0m 0.852s
loss: 0.9474 corr: 86 (12672/2257759) completed in 0m 0.837s
loss: 0.9016 corr: 93 (12800/2257759) completed in 0m 0.907s
loss: 0.9511 corr: 94 (12928/2257759) completed in 0m 0.845s
loss: 1.2887 corr: 85 (13056/2257759) completed in 0m 0.833s
loss: 1.2471 corr: 85 (13184/2257759) completed in 0m 0.987s
loss: 1.0212 corr: 86 (13312/2257759) completed in 0m 0.915s
loss: 1.0662 corr: 91 (13440/2257759) completed in 0m 0.872s
loss: 1.2069 corr: 86 (13568/2257759) completed in 0m 0.847s
loss: 1.1260 corr: 88 (13696/2257759) completed in 0m 0.972s
loss: 1.0974 corr: 92 (13824/2257759) completed in 0m 0.813s
loss: 1.0435 corr: 88 (13952/2257759) completed in 0m 0.850s
loss: 0.9664 corr: 95 (14080/2257759) completed in 0m 0.872s
loss: 1.1400 corr: 82 (14208/2257759) completed in 0m 0.872s
loss: 0.8508 corr: 94 (14336/2257759) completed in 0m 0.818s
loss: 1.0758 corr: 94 (14464/2257759) completed in 0m 0.884s
loss: 1.1748 corr: 92 (14592/2257759) completed in 0m 0.837s
loss: 0.8709 corr: 98 (14720/2257759) completed in 0m 0.860s
loss: 1.1802 corr: 82 (14848/2257759) completed in 0m 0.863s
loss: 1.0105 corr: 89 (14976/2257759) completed in 0m 0.856s
loss: 0.8488 corr: 98 (15104/2257759) completed in 0m 0.962s
loss: 0.9484 corr: 95 (15232/2257759) completed in 0m 0.887s
loss: 0.7897 corr: 98 (15360/2257759) completed in 0m 0.800s
loss: 0.9852 corr: 87 (15488/2257759) completed in 0m 0.867s
loss: 0.9825 corr: 92 (15616/2257759) completed in 0m 0.845s
loss: 1.2636 corr: 84 (15744/2257759) completed in 0m 0.860s
loss: 1.0654 corr: 90 (15872/2257759) completed in 0m 0.851s
loss: 1.0033 corr: 95 (16000/2257759) completed in 0m 0.915s
loss: 1.0137 corr: 90 (16128/2257759) completed in 0m 0.902s
loss: 1.0613 corr: 88 (16256/2257759) completed in 0m 0.844s
loss: 0.9889 corr: 95 (16384/2257759) completed in 0m 0.848s
loss: 0.8985 corr: 102 (16512/2257759) completed in 0m 0.870s
loss: 1.0725 corr: 87 (16640/2257759) completed in 0m 0.866s
loss: 0.9121 corr: 91 (16768/2257759) completed in 0m 0.852s
loss: 0.9618 corr: 89 (16896/2257759) completed in 0m 0.817s
loss: 0.8189 corr: 95 (17024/2257759) completed in 0m 0.834s
loss: 0.9703 corr: 89 (17152/2257759) completed in 0m 0.855s
loss: 1.1204 corr: 85 (17280/2257759) completed in 0m 0.854s
loss: 0.9046 corr: 98 (17408/2257759) completed in 0m 0.875s
loss: 0.7162 corr: 96 (17536/2257759) completed in 0m 0.838s
loss: 1.0923 corr: 91 (17664/2257759) completed in 0m 0.859s
loss: 0.9983 corr: 93 (17792/2257759) completed in 0m 0.851s
loss: 1.0604 corr: 93 (17920/2257759) completed in 0m 0.916s
loss: 0.7557 corr: 97 (18048/2257759) completed in 0m 0.887s
loss: 1.0649 corr: 98 (18176/2257759) completed in 0m 0.840s
loss: 1.0446 corr: 93 (18304/2257759) completed in 0m 0.845s
loss: 0.8842 corr: 90 (18432/2257759) completed in 0m 0.842s
loss: 0.8574 corr: 97 (18560/2257759) completed in 0m 0.827s
loss: 0.8677 corr: 96 (18688/2257759) completed in 0m 0.858s
loss: 1.0075 corr: 94 (18816/2257759) completed in 0m 0.865s
loss: 1.1117 corr: 87 (18944/2257759) completed in 0m 0.886s
loss: 1.0199 corr: 87 (19072/2257759) completed in 0m 0.838s
loss: 0.9160 corr: 96 (19200/2257759) completed in 0m 0.852s
loss: 1.1847 corr: 88 (19328/2257759) completed in 0m 0.963s
loss: 0.9188 corr: 100 (19456/2257759) completed in 0m 0.867s
loss: 0.8139 corr: 98 (19584/2257759) completed in 0m 0.840s
loss: 0.7184 corr: 103 (19712/2257759) completed in 0m 0.848s
loss: 0.7981 corr: 103 (19840/2257759) completed in 0m 0.865s
loss: 1.1102 corr: 97 (19968/2257759) completed in 0m 0.852s
loss: 1.1939 corr: 93 (20096/2257759) completed in 0m 0.861s
loss: 0.9996 corr: 89 (20224/2257759) completed in 0m 0.835s
loss: 1.0765 corr: 92 (20352/2257759) completed in 0m 0.851s
loss: 0.8000 corr: 97 (20480/2257759) completed in 0m 0.818s
loss: 1.0327 corr: 91 (20608/2257759) completed in 0m 0.853s
loss: 1.0602 corr: 86 (20736/2257759) completed in 0m 0.891s
loss: 1.1776 corr: 93 (20864/2257759) completed in 0m 0.852s
loss: 0.7767 corr: 100 (20992/2257759) completed in 0m 0.836s
loss: 0.9235 corr: 98 (21120/2257759) completed in 0m 0.836s
loss: 1.1195 corr: 93 (21248/2257759) completed in 0m 0.851s
loss: 0.8056 corr: 93 (21376/2257759) completed in 0m 0.849s
loss: 1.1252 corr: 88 (21504/2257759) completed in 0m 0.851s
loss: 0.9572 corr: 89 (21632/2257759) completed in 0m 0.948s
